,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Cued,prime_left.png,target_right.png,red,l,l,-5.0,2,117,True,0.837208216224,4,2.561,45.0,122.0,62.0,0.00324772020303
2,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,109,True,0.523198001451,3,2.572,48.0,93.0,48.0,0.00331203149403
3,incomp,Free,prime_right.png,target_both.png,yellow,dl,d,5.0,2,131,True,0.345241002724,2,1.252,50.0,121.0,41.0,0.003223603469
4,comp,Free,prime_left.png,target_both.png,blue,dl,d,5.0,2,150,True,0.247809396649,1,4.083,38.0,107.0,36.0,0.00321747858402
5,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,-5.0,2,139,True,0.287405246127,4,0.441,54.0,105.0,43.0,0.00323738445968
6,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,2,122,True,0.520789773276,5,0.941,46.0,112.0,38.0,0.00321556455742
7,comp,Cued,prime_left.png,target_left.png,blue,d,d,-5.0,2,102,True,0.39398283654,4,0.591,58.0,87.0,51.0,0.00323661884931
8,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,142,True,0.323504551925,6,1.382,57.0,83.0,58.0,0.00341845136882
9,incomp,Free,prime_right.png,target_both.png,yellow,dl,d,-5.0,2,125,True,0.394375977587,3,3.963,57.0,110.0,27.0,0.00326150119395
10,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,2,121,True,0.341920932318,3,2.572,49.0,96.0,40.0,0.0032572903358
11,comp,Cued,prime_left.png,target_left.png,blue,d,d,-5.0,2,141,True,0.340129020711,3,3.333,44.0,97.0,68.0,0.00359147936638
12,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,144,True,0.339658935773,5,1.051,44.0,89.0,25.0,0.00329097720237
13,comp,Cued,prime_left.png,target_left.png,blue,d,d,5.0,2,104,True,0.395133549289,5,1.972,44.0,113.0,64.0,0.00329939891913
14,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,2,129,True,0.407729375031,5,0.981,45.0,88.0,48.0,0.00347931741203
15,comp,Free,prime_left.png,target_both.png,blue,dl,d,5.0,2,105,True,0.432779005729,3,0.831,53.0,92.0,39.0,0.0033177735736
16,comp,Free,prime_left.png,target_both.png,blue,dl,d,5.0,2,142,True,0.261562825632,5,0.801,38.0,108.0,23.0,0.0033177735736
17,incomp,Free,prime_right.png,target_both.png,yellow,dl,d,-5.0,2,136,True,0.416852391048,2,1.101,44.0,79.0,34.0,0.00334380433446
18,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,2,111,True,0.500041342966,6,1.822,42.0,79.0,50.0,0.00334303872387
19,comp,Cued,prime_left.png,target_left.png,blue,d,d,-5.0,2,140,True,0.366816675305,4,2.542,57.0,83.0,29.0,0.00334533555565
20,comp,Cued,prime_left.png,target_left.png,blue,d,d,5.0,2,111,True,0.267374192947,5,0.741,53.0,82.0,46.0,0.00360602596811
21,comp,Cued,prime_left.png,target_left.png,blue,d,d,5.0,2,128,True,0.298683073197,6,1.021,58.0,122.0,50.0,0.00345826312036
22,incomp,Free,prime_right.png,target_both.png,yellow,dl,d,5.0,2,109,True,0.439823771754,4,3.653,42.0,104.0,66.0,0.00343682602352
23,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,131,True,0.381303559261,6,0.971,38.0,93.0,57.0,0.00337940522786
24,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,2,124,True,0.392919786216,7,1.031,39.0,111.0,65.0,0.00340237354612
