,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,1,137,True,0.294029714765,3,3.672,42.0,104.0,42.0,0.00346437474354
2,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,1,146,True,0.377711782396,3,1.862,52.0,97.0,39.0,0.00359070001042
3,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,1,103,True,0.334404035671,3,2.532,49.0,125.0,68.0,0.00351911569248
4,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,1,146,True,0.386195098272,5,0.961,58.0,113.0,37.0,0.00330359713109
5,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,1,121,True,0.453495075613,3,2.342,51.0,87.0,45.0,0.00325230141664
6,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,1,109,True,0.240303578754,4,2.272,39.0,88.0,24.0,0.00326837917794
7,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,1,127,True,0.398679097074,4,2.822,40.0,100.0,56.0,0.0036622843283
8,incomp,Cued,prime_left.png,target_right.png,cross,l,d,5.0,1,117,False,0.200942156807,2,1.702,43.0,117.0,44.0,0.00332197171542
9,incomp,Cued,prime_right.png,target_left.png,cross,d,l,5.0,1,134,False,0.393499761129,1,1.231,55.0,87.0,32.0,0.00342226632125
10,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,1,120,True,0.312857921592,3,1.792,49.0,110.0,58.0,0.00341652426363
11,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,1,108,True,0.307288891338,5,1.191,44.0,80.0,27.0,0.00335565845324
12,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,1,101,True,0.242895926353,5,1.392,50.0,77.0,40.0,0.00342685996731
13,incomp,Free,prime_right.png,target_both.png,red,dl,d,5.0,1,119,True,0.330166779975,3,0.991,42.0,84.0,56.0,0.00334034629969
14,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,1,121,True,0.333447408877,3,1.061,46.0,116.0,72.0,0.00334838518029
15,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,1,113,True,0.330369283209,6,1.211,40.0,119.0,47.0,0.003427625575
16,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,1,134,True,0.377871794401,5,0.981,50.0,75.0,64.0,0.00336140051081
