,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,135,True,0.437935247965,1,1.621,43.0,79.0,62.0,0.00282011588229
2,incomp,Cued,prime_left.png,target_right.png,green,l,l,250.0,2,125,True,0.461396529653,7,0.871,39.0,93.0,36.0,0.00265933827018
3,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,131,True,0.344054520454,1,1.121,46.0,80.0,35.0,0.00264440892033
4,incomp,Free,prime_left.png,target_both.png,green,dl,l,250.0,2,132,True,0.429327903644,7,1.241,39.0,114.0,26.0,0.0026512993893
5,incomp,Cued,prime_right.png,target_left.png,red,d,d,250.0,2,126,True,0.562262278816,7,0.981,46.0,85.0,67.0,0.00267771285417
6,incomp,Cued,prime_left.png,target_right.png,green,l,l,250.0,2,111,True,0.351641692544,6,0.901,53.0,82.0,51.0,0.0027014466923
7,comp,Free,prime_right.png,target_both.png,blue,dl,l,250.0,2,128,True,0.260699367302,1,1.061,39.0,122.0,58.0,0.00274738315284
8,incomp,Cued,prime_right.png,target_left.png,cross,d,l,250.0,2,102,False,0.246107650565,7,1.651,38.0,96.0,73.0,0.00277992147926
9,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-250.0,2,148,True,0.406765828173,1,1.902,57.0,86.0,24.0,0.0026011520863
10,comp,Cued,prime_right.png,target_right.png,blue,l,l,250.0,2,102,True,0.315472089007,6,1.321,40.0,118.0,29.0,0.00276116409123
11,incomp,Free,prime_right.png,target_both.png,red,dl,d,-250.0,2,150,True,0.462432014038,7,1.011,39.0,115.0,43.0,0.00269991547702
12,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-250.0,2,128,True,0.401516439128,6,1.311,41.0,95.0,46.0,0.00256172329114
13,incomp,Cued,prime_right.png,target_left.png,red,d,d,250.0,2,139,True,0.43649781955,7,0.951,44.0,107.0,33.0,0.00270604033813
14,comp,Free,prime_right.png,target_both.png,blue,dl,l,250.0,2,113,True,0.329537067661,1,2.102,57.0,81.0,67.0,0.00259464442115
15,comp,Cued,prime_right.png,target_right.png,blue,l,l,-250.0,2,118,True,0.344312147437,7,1.061,55.0,83.0,44.0,0.00260536292853
16,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-250.0,2,143,True,0.481129301949,1,1.751,45.0,106.0,56.0,0.00272058688461
17,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,125,True,0.405541238692,7,1.071,53.0,82.0,66.0,0.00270986837677
18,incomp,Free,prime_left.png,target_both.png,green,dl,l,-250.0,2,140,True,0.384709436574,7,1.782,57.0,115.0,51.0,0.00259694124406
19,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-250.0,2,149,True,0.387048750834,2,1.081,43.0,115.0,72.0,0.00272977417626
20,comp,Free,prime_right.png,target_both.png,blue,dl,l,250.0,2,134,True,0.337903245564,7,0.961,47.0,84.0,24.0,0.00269991547702
21,comp,Free,prime_left.png,target_both.png,yellow,dl,d,250.0,2,126,True,0.35314190079,5,2.422,44.0,123.0,51.0,0.00270795435745
22,incomp,Cued,prime_left.png,target_right.png,green,l,l,250.0,2,135,True,0.383485229897,7,1.001,56.0,85.0,24.0,0.00258966797128
23,comp,Free,prime_left.png,target_both.png,yellow,dl,d,250.0,2,137,True,0.370590482577,7,0.951,48.0,82.0,60.0,0.00262526872848
24,incomp,Free,prime_left.png,target_both.png,green,dl,l,-250.0,2,111,True,0.420054863446,7,0.961,45.0,123.0,67.0,0.00268957977323
25,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-250.0,2,117,True,0.370986684551,3,0.761,54.0,118.0,65.0,0.00270297790757
26,comp,Cued,prime_right.png,target_right.png,blue,l,l,-250.0,2,138,True,0.301990886206,2,0.881,55.0,104.0,41.0,0.00271063398441
27,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,136,True,0.349208208539,2,0.911,48.0,87.0,49.0,0.00263943247
28,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-250.0,2,101,True,0.380286903821,7,1.021,40.0,120.0,39.0,0.00272326651111
29,incomp,Cued,prime_left.png,target_right.png,green,l,l,-250.0,2,124,True,0.561652855105,7,0.961,44.0,84.0,61.0,0.00258928516723
30,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,145,True,0.360950716302,1,1.061,58.0,98.0,48.0,0.00288634094659
31,comp,Cued,prime_left.png,target_left.png,yellow,d,d,250.0,2,128,True,0.383554517392,2,1.211,48.0,103.0,42.0,0.00268422051977
32,comp,Cued,prime_right.png,target_right.png,blue,l,l,-250.0,2,103,True,0.308746991162,1,1.932,58.0,105.0,50.0,0.00277456222557
33,comp,Cued,prime_right.png,target_right.png,blue,l,l,250.0,2,122,True,0.451097192364,1,1.291,41.0,117.0,53.0,0.00263751845114
34,incomp,Free,prime_left.png,target_both.png,green,dl,l,250.0,2,148,True,0.347848489303,7,0.971,50.0,78.0,66.0,0.00283236560517
35,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,114,True,0.433144457919,7,1.171,44.0,77.0,36.0,0.00265397901649
36,incomp,Free,prime_left.png,target_both.png,green,dl,l,-250.0,2,131,True,0.388289418077,7,1.461,58.0,124.0,51.0,0.00275771885663
37,comp,Cued,prime_right.png,target_right.png,blue,l,l,250.0,2,144,True,0.388934059742,7,1.201,52.0,93.0,35.0,0.00288748935782
38,comp,Cued,prime_right.png,target_right.png,blue,l,l,-250.0,2,115,True,0.366165653002,7,0.891,45.0,120.0,65.0,0.00268766575391
39,incomp,Free,prime_left.png,target_both.png,green,dl,l,-250.0,2,147,True,0.301029282962,7,0.931,57.0,80.0,53.0,0.00267426762002
40,incomp,Free,prime_left.png,target_both.png,green,dl,l,-250.0,2,107,True,0.408347573636,7,1.001,50.0,84.0,68.0,0.0026333076089
41,incomp,Cued,prime_left.png,target_right.png,green,l,l,-250.0,2,139,True,0.321493976198,7,0.931,54.0,106.0,32.0,0.00267503322766
42,comp,Cued,prime_left.png,target_left.png,cross,d,l,250.0,2,144,False,0.274507867384,2,1.221,55.0,105.0,45.0,0.00280518653244
43,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,102,True,0.347901699037,7,1.151,40.0,122.0,47.0,0.00294108189564
44,incomp,Free,prime_left.png,target_both.png,green,dl,l,250.0,2,145,True,0.504621973552,7,0.951,44.0,76.0,57.0,0.00276460932582
45,comp,Free,prime_left.png,target_both.png,yellow,dl,d,250.0,2,102,True,0.307980235073,7,1.201,41.0,111.0,27.0,0.00263254200127
46,incomp,Cued,prime_right.png,target_left.png,red,d,d,-250.0,2,111,True,0.443377570145,1,1.801,49.0,103.0,57.0,0.00312482773825
47,incomp,Cued,prime_left.png,target_right.png,green,l,l,-250.0,2,123,True,0.421376302299,7,0.901,55.0,100.0,30.0,0.00269379061547
48,incomp,Cued,prime_right.png,target_left.png,red,d,d,250.0,2,103,True,0.424844505081,7,1.221,51.0,117.0,69.0,0.00276346091414
49,incomp,Cued,prime_right.png,target_left.png,red,d,d,-250.0,2,113,True,0.383504370088,7,0.951,45.0,86.0,48.0,0.00275121119148
50,comp,Free,prime_left.png,target_both.png,yellow,dl,d,250.0,2,102,True,0.462944971182,7,1.021,47.0,110.0,56.0,0.00272326651111
51,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-250.0,2,133,True,0.318098506146,7,0.941,48.0,107.0,27.0,0.00270757155386
52,comp,Free,prime_right.png,target_both.png,blue,dl,l,-250.0,2,131,True,0.76530794272,7,1.011,45.0,80.0,66.0,0.00269072818492
53,incomp,Cued,prime_right.png,target_left.png,red,d,d,-250.0,2,104,True,0.440162783504,7,0.931,48.0,79.0,25.0,0.00282585794002
