,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
82,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,126,True,0.265831487574,5,0.921,57.0,114.0,48.0,0.00417870270348
83,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,2,104,True,0.320771704869,2,0.911,53.0,97.0,56.0,0.00405965025379
84,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,2,150,True,0.443866961376,5,1.712,43.0,116.0,55.0,0.00403285388256
85,incomp,Cued,prime_left.png,target_right.png,blue,l,l,5.0,2,106,True,0.494440518563,2,1.251,47.0,82.0,35.0,0.00400146384754
86,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,2,106,True,0.415789723515,2,2.182,55.0,75.0,46.0,0.00400108104213
87,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,2,114,True,0.438258863665,5,1.151,53.0,95.0,42.0,0.00404433804147
88,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,135,True,0.449397732415,5,0.931,43.0,95.0,63.0,0.00402979143996
89,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,2,120,True,0.382414077435,2,1.502,49.0,75.0,44.0,0.00415037511107
90,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,2,133,True,0.413487915219,2,1.702,49.0,86.0,48.0,0.0041090321381
91,comp,Cued,prime_left.png,target_left.png,yellow,d,d,5.0,2,138,True,0.404669995031,2,3.703,42.0,93.0,57.0,0.00411821946523
92,incomp,Free,prime_left.png,target_both.png,blue,dl,l,-5.0,2,108,True,0.504227701782,5,1.672,49.0,80.0,41.0,0.00415075791625
93,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,140,True,0.395017559279,5,0.981,40.0,112.0,40.0,0.00439690172698
94,incomp,Free,prime_left.png,target_both.png,cross,dl,NoResp,5.0,2,126,False,,4,0.831,52.0,104.0,41.0,0.0040906574834
95,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,2,135,True,0.570613797681,2,1.962,51.0,104.0,71.0,0.00410061042135
96,incomp,Cued,prime_left.png,target_right.png,blue,l,l,5.0,2,138,True,0.560801732118,2,0.941,45.0,81.0,63.0,0.00424454521567
97,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,2,132,True,0.564037968161,2,2.092,39.0,92.0,25.0,0.00463692065296
98,incomp,Free,prime_left.png,target_both.png,blue,dl,l,5.0,2,144,True,0.498339007784,5,2.502,38.0,93.0,70.0,0.00420320224293
99,incomp,Cued,prime_left.png,target_right.png,blue,l,l,5.0,2,119,True,0.412526308295,5,2.052,51.0,121.0,38.0,0.00421162395924
100,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,2,119,True,0.399033186923,2,1.292,50.0,88.0,63.0,0.00425641218044
101,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,2,100,True,0.574194175694,2,1.602,45.0,89.0,54.0,0.00423918594197
102,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,2,136,True,0.749046623389,5,5.414,45.0,97.0,67.0,0.00422004567645
103,comp,Free,prime_right.png,target_both.png,green,dl,l,5.0,2,122,True,0.391150460093,5,3.203,39.0,97.0,65.0,0.00438924562104
104,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,2,100,True,0.41527485038,5,0.871,51.0,94.0,62.0,0.00416683573894
105,comp,Cued,prime_left.png,target_left.png,yellow,d,d,-5.0,2,120,True,0.466486544011,2,1.011,40.0,84.0,44.0,0.00430081759578
106,comp,Cued,prime_right.png,target_right.png,green,l,l,5.0,2,101,True,0.315554451375,2,2.573,52.0,105.0,49.0,0.00436474608114
107,comp,Free,prime_right.png,target_both.png,green,dl,l,-5.0,2,140,True,0.343186103861,5,1.191,46.0,124.0,29.0,0.004663334219
108,comp,Free,prime_left.png,target_both.png,yellow,dl,d,5.0,2,131,True,0.450324121251,5,0.801,39.0,98.0,26.0,0.00430770809089
109,incomp,Cued,prime_left.png,target_right.png,blue,l,l,-5.0,2,121,True,0.345889092116,2,1.161,46.0,122.0,25.0,0.00424952168487
110,comp,Cued,prime_right.png,target_right.png,green,l,l,-5.0,2,116,True,0.525008287735,2,0.951,44.0,106.0,44.0,0.00435326192201
111,comp,Free,prime_left.png,target_both.png,yellow,dl,d,-5.0,2,132,True,0.420194664153,5,0.981,47.0,87.0,30.0,0.00422923300403
112,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,2,111,True,0.487229615043,2,1.962,46.0,113.0,37.0,0.00434713703726
113,incomp,Cued,prime_left.png,target_right.png,blue,l,l,5.0,2,117,True,0.381958921928,2,2.292,38.0,111.0,61.0,0.00432072347121
