,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
49,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,127,False,0.0,0,0.0,,,,
50,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,120,False,0.0,0,0.0,,,,
51,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,146,False,0.0,0,0.0,,,,
52,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,113,False,0.0,0,0.0,,,,
53,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,143,False,0.0,0,0.0,,,,
54,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,102,False,0.0,0,0.0,,,,
55,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,127,False,0.0,0,0.0,,,,
56,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,136,False,0.0,0,0.0,,,,
57,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,127,False,0.0,0,0.0,,,,
58,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,141,False,0.0,0,0.0,,,,
59,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,104,False,0.0,0,0.0,,,,
60,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,145,False,0.0,0,0.0,,,,
61,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,125,False,0.0,0,0.0,,,,
62,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,143,False,0.0,0,0.0,,,,
63,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,117,False,0.0,0,0.0,,,,
64,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,139,False,0.0,0,0.0,,,,
65,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,140,False,0.0,0,0.0,,,,
66,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,135,False,0.0,0,0.0,,,,
67,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,135,False,0.0,0,0.0,,,,
68,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,130,False,0.0,0,0.0,,,,
69,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,124,False,0.0,0,0.0,,,,
70,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,110,False,0.0,0,0.0,,,,
71,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,139,False,0.0,0,0.0,,,,
72,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,111,False,0.0,0,0.0,,,,
73,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,127,False,0.0,0,0.0,,,,
74,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,127,False,0.0,0,0.0,,,,
75,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,147,False,0.0,0,0.0,,,,
76,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,138,False,0.0,0,0.0,,,,
77,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,128,False,0.0,0,0.0,,,,
78,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,123,False,0.0,0,0.0,,,,
79,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,135,False,0.0,0,0.0,,,,
80,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,130,False,0.0,0,0.0,,,,
81,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,126,False,0.0,0,0.0,,,,
82,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,138,False,0.0,0,0.0,,,,
