,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Cued,prime_left.png,target_right.png,green,l,l,5.0,3,105,True,0.346224429563,2,1.131,38.0,120.0,25.0,0.0191563430458
2,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,5.0,3,105,True,0.849475595013,2,3.473,48.0,115.0,31.0,0.00332772651154
3,incomp,Free,prime_left.png,target_both.png,green,dl,l,5.0,3,108,True,0.879061085774,2,5.164,58.0,102.0,71.0,0.00336524143131
4,comp,Cued,prime_right.png,target_right.png,red,l,l,-5.0,3,133,True,0.303240753146,2,4.053,44.0,96.0,61.0,0.00361827573761
5,incomp,Free,prime_right.png,target_both.png,yellow,dl,d,5.0,3,138,True,0.386796815366,5,1.151,44.0,86.0,24.0,0.00330093014054
6,incomp,Free,prime_left.png,target_both.png,green,dl,l,-5.0,3,136,True,0.381768667692,2,3.132,55.0,111.0,60.0,0.00341845136882
7,comp,Cued,prime_right.png,target_right.png,red,l,l,5.0,3,142,True,0.31960261747,2,4.253,55.0,111.0,48.0,0.00338285047565
8,comp,Cued,prime_right.png,target_right.png,red,l,l,5.0,3,126,True,0.41268402408,3,2.843,44.0,98.0,66.0,0.00332045321102
9,incomp,Cued,prime_left.png,target_right.png,green,l,l,5.0,3,135,True,0.476909949646,2,2.722,42.0,99.0,58.0,0.00333499981252
10,comp,Cued,prime_left.png,target_left.png,blue,d,d,-5.0,3,146,True,0.380821990174,2,3.533,55.0,76.0,32.0,0.00339471743973
11,comp,Cued,prime_left.png,target_left.png,blue,d,d,-5.0,3,100,True,0.512723299904,2,1.732,47.0,95.0,62.0,0.00341538892644
12,incomp,Cued,prime_right.png,target_left.png,yellow,d,d,-5.0,3,137,True,0.399461163253,2,3.633,44.0,84.0,64.0,0.00341270928902
13,incomp,Cued,prime_left.png,target_right.png,green,l,l,-5.0,3,109,True,0.350958582763,1,2.712,45.0,76.0,46.0,0.0034341463861
14,comp,Free,prime_left.png,target_both.png,blue,dl,d,5.0,3,123,True,0.263613513639,4,9.897,50.0,75.0,31.0,0.00338514730765
15,incomp,Free,prime_left.png,target_both.png,green,dl,l,-5.0,3,149,True,0.33147264435,4,7.095,53.0,102.0,30.0,0.00346553642157
16,comp,Cued,prime_left.png,target_left.png,blue,d,d,-5.0,3,108,True,0.312991569861,3,5.574,40.0,95.0,68.0,0.00341194367866
17,incomp,Cued,prime_left.png,target_right.png,cross,l,d,-5.0,3,127,False,0.299333842209,4,0.811,52.0,82.0,34.0,0.00345711470436
