,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
66,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,2,138,False,0.337143994665,0,0.0,33.0,0.00934178642046
67,comp,Cued,prime_right.png,target_right.png,,l,d,-5.0,2,110,False,0.1271436506,0,0.0,71.0,0.00924634921989
68,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,129,False,0.24478126449,0,0.0,29.0,0.00924675882152
69,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,132,False,0.168594525427,0,0.0,33.0,0.0094491020709
70,incomp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,133,False,0.112504485139,0,0.0,40.0,0.00924593961827
71,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,136,True,0.304304995994,0,0.0,66.0,0.00918163214806
72,comp,Free,prime_left.png,target_both.png,,d,l,5.0,2,104,False,0.078018068351,0,0.0,31.0,0.00913657595902
73,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,142,True,0.217873298719,0,0.0,39.0,0.00919228179282
74,comp,Cued,,target_left.png,,space,space,-5.0,2,101,True,0.109919898288,0,0.0,27.0,0.00917344011373
75,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,143,True,0.0578525564879,0,0.0,58.0,0.00928444217971
76,incomp,Cued,,target_right.png,,space,space,-5.0,2,104,True,0.0830946720644,0,0.0,26.0,0.00921890590462
77,comp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,147,True,0.174954001727,0,0.0,23.0,0.00929345341774
78,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,138,False,0.0729132021188,0,0.0,44.0,0.0094409100368
79,comp,Free,prime_right.png,target_both.png,,l,d,-5.0,2,112,False,0.0105808316225,0,0.0,69.0,0.00930000704511
80,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,137,False,0.204560014025,0,0.0,58.0,0.00935284566685
81,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,124,False,0.652254284024,0,0.0,41.0,0.00938643300788
82,comp,Free,,target_both.png,,space,space,5.0,2,100,True,0.435821144952,0,0.0,31.0,0.0093241735467
83,incomp,Free,,target_both.png,,space,space,-5.0,2,133,True,0.325584214933,0,0.0,56.0,0.00932581195366
84,incomp,Free,prime_left.png,target_both.png,,d,d,-5.0,2,121,True,0.0732613635805,0,0.0,73.0,0.00938643300788
85,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,114,True,0.0670378750519,0,0.0,54.0,0.0100827559313
86,incomp,Cued,,target_right.png,,space,space,5.0,2,133,True,0.0228697024163,0,0.0,32.0,0.00994676816049
87,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,2,108,False,0.0890298009826,0,0.0,37.0,0.00940691309393
88,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,129,True,0.0649476774765,0,0.0,26.0,0.00951054232905
