,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
92,comp,Cued,prime_left.png,target_left.png,,d,d,-5.0,2,116,True,0.135591033817,0,0.0,29.0,0.0034965302666
93,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,149,True,0.257737996802,0,0.0,66.0,0.00339011079905
94,comp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,101,False,0.0659819837201,0,0.0,44.0,0.00327909768566
95,incomp,Cued,prime_right.png,target_left.png,,l,d,-5.0,2,109,False,0.108817350509,0,0.0,46.0,0.00338551715231
96,incomp,Cued,prime_left.png,target_right.png,,d,l,-5.0,2,127,False,0.1648353331,0,0.0,26.0,0.00327220721647
97,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,115,False,0.107395617051,0,0.0,52.0,0.00341767267491
98,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,2,138,True,0.211977625881,0,0.0,32.0,0.00337939229121
99,comp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,124,True,0.178465446592,0,0.0,45.0,0.00340044650238
100,comp,Cued,prime_left.png,target_left.png,,d,d,5.0,2,109,True,0.242580878796,0,0.0,61.0,0.00342150071356
101,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,2,135,False,0.211052771807,0,0.0,71.0,0.00357194262233
102,comp,Cued,,target_right.png,,space,space,-5.0,2,128,True,0.123216516917,0,0.0,53.0,0.00338092350648
103,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,123,False,0.0104559040628,0,0.0,32.0,0.00336829097978
104,comp,Cued,prime_right.png,target_right.png,,l,d,5.0,2,100,False,0.112016059385,0,0.0,38.0,0.00334226031828
105,incomp,Free,,target_both.png,,space,space,-5.0,2,123,True,0.232534957649,0,0.0,37.0,0.00353557625749
106,comp,Cued,,target_left.png,,space,space,5.0,2,135,True,0.141481236486,0,0.0,29.0,0.00345786707749
107,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,2,134,False,0.155717711263,0,0.0,53.0,0.00396010571512
108,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,116,True,0.140010886942,0,0.0,27.0,0.00340886818685
109,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,121,True,0.304678169156,0,0.0,70.0,0.003367142569
110,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,112,True,0.20885968861,0,0.0,33.0,0.00337556425256
111,comp,Cued,,target_left.png,,space,space,5.0,2,117,True,0.155175661028,0,0.0,49.0,0.00339355603319
112,comp,Free,prime_left.png,target_both.png,,d,d,5.0,2,112,True,0.219933055265,0,0.0,52.0,0.00340006369879
113,comp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,107,False,0.130365761412,0,0.0,42.0,0.00339661846374
114,comp,Free,prime_right.png,target_both.png,,l,l,5.0,2,112,True,0.068605338427,0,0.0,32.0,0.00344064090586
115,comp,Cued,prime_right.png,target_right.png,,l,l,5.0,2,107,True,0.177448719598,0,0.0,33.0,0.00336867378428
116,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,2,136,True,0.462157926489,0,0.0,56.0,0.00346514035118
117,incomp,Cued,prime_left.png,target_right.png,,d,d,-5.0,2,121,True,0.0399007925553,0,0.0,58.0,0.00340312612934
118,incomp,Free,,target_both.png,,space,space,5.0,2,125,True,0.290225410215,0,0.0,38.0,0.00339125920982
119,comp,Free,,target_both.png,,space,space,-5.0,2,137,True,0.170696825488,0,0.0,32.0,0.00368065891234
120,comp,Free,,target_both.png,,space,space,5.0,2,130,True,0.117077874551,0,0.0,56.0,0.00342150071356
121,comp,Free,,target_both.png,,space,space,-5.0,2,143,True,0.0670013903436,0,0.0,42.0,0.00341499304795
122,comp,Cued,prime_right.png,target_right.png,,l,d,-5.0,2,123,False,0.077264361269,0,0.0,68.0,0.00343068800612
123,incomp,Cued,prime_left.png,target_right.png,,d,d,5.0,2,138,True,0.371519930301,0,0.0,27.0,0.00376066491481
124,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,2,140,False,0.283605583423,0,0.0,41.0,0.00360065290988
125,comp,Cued,prime_left.png,target_left.png,,d,d,5.0,2,146,True,0.245869929378,0,0.0,65.0,0.00351835008405
126,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,2,115,False,0.0303218920926,0,0.0,48.0,0.00352294373079
127,comp,Free,,target_both.png,,space,space,5.0,2,104,True,0.192869589449,0,0.0,71.0,0.00343528165195
128,incomp,Free,prime_right.png,target_both.png,,l,l,-5.0,2,118,True,0.137110765056,0,0.0,36.0,
