,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,,l,d,5.0,1,116,False,0.256492187257,0,0.0,63.0,0.0102838703758
2,incomp,Cued,prime_left.png,target_right.png,cross,d,NoResp,-5.0,1,140,False,,0,0.0,75.0,0.00970878956139
3,comp,Cued,prime_right.png,target_right.png,cross,l,NoResp,-5.0,1,150,False,,0,0.0,71.0,0.0088928629358
4,comp,Cued,prime_right.png,target_right.png,,l,d,-5.0,1,147,False,0.0288728252197,0,0.0,57.0,0.00890064536844
5,incomp,Free,prime_left.png,target_both.png,,d,l,-5.0,1,143,False,0.220565610823,0,0.0,49.0,0.00873762388403
6,comp,Free,prime_right.png,target_both.png,,l,d,-5.0,1,124,False,0.0202040144245,0,0.0,33.0,0.00877530724227
7,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,1,141,True,0.218275118006,0,0.0,63.0,0.00879292011621
8,incomp,Cued,prime_left.png,target_right.png,cross,d,NoResp,-5.0,1,129,False,,0,0.0,47.0,0.00890433178398
9,incomp,Free,prime_left.png,target_both.png,,d,space,5.0,1,141,False,0.694570647285,0,0.0,49.0,0.00895143598171
10,incomp,Cued,prime_right.png,target_left.png,,l,l,-5.0,1,133,True,0.021943592928,0,0.0,48.0,0.00891784864069
11,incomp,Free,prime_right.png,target_both.png,,l,d,5.0,1,130,False,0.027726759608,0,0.0,34.0,0.00868601406734
12,incomp,Cued,prime_right.png,target_left.png,,l,l,5.0,1,112,True,0.119920324274,0,0.0,31.0,0.00891743903895
13,comp,Free,prime_left.png,target_both.png,,d,d,5.0,1,124,True,0.559939886851,0,0.0,33.0,0.00894897837139
14,comp,Free,,target_both.png,,space,space,-5.0,1,128,True,0.189505922022,0,0.0,41.0,0.00880193135407
15,comp,Free,,target_both.png,,space,space,-5.0,1,119,True,0.167422654907,0,0.0,37.0,0.00895430319372
16,comp,Cued,prime_left.png,target_left.png,,d,l,-5.0,1,150,False,0.0221504417964,0,0.0,45.0,0.00887852687561
17,comp,Cued,prime_left.png,target_left.png,,d,d,-5.0,1,122,True,0.522154128212,0,0.0,60.0,0.00878349927666
18,comp,Free,,target_both.png,,space,space,5.0,1,121,True,0.0717003714269,0,0.0,30.0,0.00878145126802
19,comp,Free,prime_left.png,target_both.png,,d,d,-5.0,1,147,True,0.0435185443082,0,0.0,27.0,0.0185221897636
20,comp,Cued,prime_left.png,target_left.png,,d,l,5.0,1,149,False,0.0715275195012,0,0.0,30.0,0.00955232170446
21,comp,Cued,prime_left.png,target_left.png,,d,d,5.0,1,149,True,0.199271646222,0,0.0,68.0,0.00878349927666
