,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,5.0,4,150,True,0.427158275445,4,1.551,42.0,104.0,35.0,0.0404441460264
2,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-5.0,4,143,True,0.505904771824,2,0.841,43.0,90.0,25.0,0.00324274373406
3,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,4,108,True,0.499439955849,5,2.302,46.0,88.0,61.0,0.00321900980543
4,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,134,True,0.339577781066,4,0.431,46.0,111.0,23.0,0.00325231386705
5,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,149,True,0.448937983252,4,0.601,51.0,93.0,37.0,0.00322781432715
6,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,4,115,True,0.482774526914,2,0.831,55.0,118.0,60.0,0.00320714284089
7,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,4,132,True,0.435438736982,4,0.591,57.0,104.0,39.0,0.00325346228237
8,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,4,142,True,0.836822731289,5,0.932,44.0,98.0,62.0,0.00327872743264
9,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,143,True,0.343530628626,6,1.312,58.0,88.0,55.0,0.00326073558335
10,comp,Cued,prime_right.png,target_right.png,blue,l,l,-5.0,4,137,True,0.450463845191,5,0.961,53.0,79.0,61.0,0.00329327403415
11,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,4,142,True,0.499564367565,7,1.051,57.0,99.0,42.0,0.00342993552795
12,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,4,145,True,0.440300364353,7,0.901,49.0,123.0,30.0,0.00328370390162
13,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,130,True,0.381379354701,7,0.971,39.0,101.0,23.0,0.00328791475977
14,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,4,109,True,0.456830280207,7,1.321,54.0,85.0,41.0,0.00351376988965
15,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,5.0,4,111,True,0.554306291699,5,0.911,42.0,85.0,23.0,0.00335567129878
16,comp,Free,prime_right.png,target_both.png,blue,dl,l,5.0,4,138,True,0.518891441781,7,0.991,58.0,120.0,32.0,0.00331624235241
17,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,134,True,0.476011505598,7,1.982,41.0,116.0,44.0,0.00333040614851
18,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,100,True,0.384197950159,4,0.661,48.0,88.0,26.0,0.00356927665871
19,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,5.0,4,133,True,0.459885449338,7,2.812,42.0,97.0,38.0,0.0034525210408
20,comp,Free,prime_right.png,target_both.png,blue,dl,l,-5.0,4,129,True,0.410311779604,7,1.392,45.0,122.0,36.0,0.00335528849337
21,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,122,True,0.440871892686,5,2.422,46.0,96.0,46.0,0.00337825681163
22,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,112,True,0.349177006879,4,0.511,52.0,96.0,47.0,0.00336753826332
23,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,4,127,True,0.480504491454,3,1.051,56.0,91.0,58.0,0.003381319254
24,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,4,101,True,0.404009655875,4,0.941,46.0,77.0,45.0,0.00340084232494
25,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,4,104,True,0.329328934647,4,0.491,38.0,118.0,60.0,0.00345520067822
26,incomp,Free,prime_right.png,target_both.png,red,dl,d,5.0,4,101,True,0.510801617274,4,0.871,48.0,118.0,34.0,0.00357693276464
27,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,5.0,4,134,True,0.663986519125,7,1.311,44.0,91.0,72.0,0.00344563054568
28,comp,Free,prime_right.png,target_both.png,blue,dl,l,5.0,4,119,True,0.531012206135,7,1.111,53.0,125.0,41.0,0.00343184955454
29,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,-5.0,4,100,True,0.429788147885,7,1.021,39.0,88.0,68.0,0.00346094275756
30,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,4,118,True,0.442854441353,4,0.631,52.0,90.0,45.0,0.00359913547254
31,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,4,119,True,0.481476051325,3,1.662,47.0,110.0,33.0,0.00347395813787
32,incomp,Free,prime_right.png,target_both.png,red,dl,d,5.0,4,132,True,0.490361345248,4,0.491,46.0,95.0,25.0,0.00348084863344
33,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,136,True,0.963943185561,3,1.202,42.0,86.0,68.0,0.0034911843768
34,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,4,107,True,0.406651778103,3,0.791,39.0,114.0,70.0,0.00379704581519
35,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,126,True,0.376011275905,3,0.721,45.0,108.0,28.0,0.00349501242954
36,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,4,145,True,0.36345181668,3,0.761,54.0,98.0,24.0,0.00351491830588
37,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,4,112,True,0.348516667727,3,0.821,45.0,124.0,57.0,0.00354937078328
38,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,133,True,0.383351567623,3,1.662,48.0,115.0,50.0,0.00358956534001
39,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,116,True,0.374192950723,5,0.961,47.0,75.0,55.0,0.0035198947744
40,incomp,Cued,prime_right.png,target_left.png,red,d,d,-5.0,4,149,True,0.481205790769,5,1.021,58.0,125.0,70.0,0.00362708025978
41,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,141,True,0.410301061056,3,1.952,42.0,115.0,72.0,0.00374881234666
42,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,4,125,True,0.574371031747,4,0.911,43.0,119.0,44.0,0.00356621421633
43,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,4,149,True,0.49734294838,4,0.681,38.0,83.0,62.0,0.00376565577972
44,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,4,127,True,0.380907738567,5,0.811,38.0,117.0,24.0,0.00371589109045
45,incomp,Cued,prime_right.png,target_left.png,red,d,d,5.0,4,107,True,0.54000315431,4,0.431,42.0,116.0,64.0,0.00358956534001
46,incomp,Free,prime_right.png,target_both.png,red,dl,d,-5.0,4,104,True,0.63489255037,4,2.592,54.0,117.0,64.0,0.00363358794948
47,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,132,True,0.84089769375,4,5.854,43.0,80.0,37.0,0.00421506920748
48,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-5.0,4,109,True,0.515247900898,4,1.292,57.0,81.0,38.0,0.00381848291181
49,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,123,True,0.494252561155,5,1.272,44.0,107.0,45.0,0.00375340600976
50,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,4,110,True,0.563158281569,4,1.181,56.0,117.0,26.0,0.00418789003106
51,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,4,102,True,0.494471908591,5,0.841,52.0,89.0,73.0,0.00364277527751
52,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,-5.0,4,106,True,0.677670660356,4,3.693,47.0,79.0,43.0,0.00366191554167
53,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,4,125,True,0.473260283863,4,0.841,43.0,92.0,41.0,0.00364545491448
54,comp,Free,prime_right.png,target_both.png,blue,dl,l,5.0,4,113,True,0.482366456446,5,2.272,39.0,81.0,68.0,0.0037036413205
55,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,132,True,0.540842646355,4,0.841,56.0,106.0,52.0,0.00386097430055
56,incomp,Free,prime_right.png,target_both.png,red,dl,d,5.0,4,123,True,0.440050392499,5,1.612,51.0,110.0,61.0,0.00379589739896
57,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,5.0,4,118,True,0.59040253509,5,0.841,45.0,120.0,35.0,0.0036829698347
58,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-5.0,4,136,True,0.561690988834,3,0.911,46.0,119.0,23.0,0.00369866485198
59,comp,Free,prime_right.png,target_both.png,blue,dl,l,-5.0,4,110,True,0.721011494112,3,0.901,51.0,111.0,54.0,0.0038915987252
60,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,4,100,True,0.461940731024,2,0.881,50.0,110.0,32.0,0.00373464854965
61,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,4,111,True,0.454600439305,2,0.961,43.0,122.0,27.0,0.00375570284177
62,comp,Free,prime_right.png,target_both.png,blue,dl,l,-5.0,4,119,True,0.415895760583,1,1.031,58.0,90.0,51.0,0.00376910102841
63,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,-5.0,4,135,True,0.364953944692,4,0.611,47.0,120.0,47.0,0.00377484310775
64,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,125,True,0.318126137397,4,0.751,44.0,100.0,71.0,0.00400299506873
