,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,ITI,saveTime
1,comp,Free,prime_right.png,target_both.png,,dl,l,250.0,2,121,True,0.2892370107,0,0.0,35.0,0.00180759972807
2,incomp,Cued,prime_right.png,target_left.png,,d,l,250.0,2,121,True,0.385764826759,0,0.0,59.0,0.00177927224399
3,comp,Free,prime_left.png,target_both.png,,dl,d,250.0,2,117,True,0.0798463731635,0,0.0,37.0,0.00176587410954
4,incomp,Free,prime_right.png,target_both.png,,dl,d,-250.0,2,139,False,0.146219965211,0,0.0,69.0,0.00175515560215
5,comp,Free,prime_right.png,target_both.png,,dl,l,250.0,2,131,True,0.680522251621,0,0.0,28.0,0.00188262928054
6,comp,Free,prime_right.png,target_both.png,,dl,l,250.0,2,146,True,0.0865274485659,0,0.0,35.0,0.00173103896032
7,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,2,118,True,0.335100355855,0,0.0,24.0,0.00198904874776
8,incomp,Cued,prime_left.png,target_right.png,,l,l,-250.0,2,123,False,0.185700821957,0,0.0,44.0,0.00176587410954
9,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,2,145,True,0.181813066167,0,0.0,26.0,0.00185927824634
10,comp,Cued,prime_left.png,target_left.png,,d,d,-250.0,2,132,True,0.21625622439,0,0.0,31.0,0.00192282368369
11,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,2,132,True,0.37073824486,0,0.0,46.0,0.00178080345927
12,incomp,Free,prime_left.png,target_both.png,,dl,l,250.0,2,100,False,0.19907369127,0,0.0,40.0,0.00175668681743
13,comp,Free,prime_left.png,target_both.png,,dl,d,-250.0,2,107,True,0.291801796422,0,0.0,55.0,0.00176013205203
14,comp,Cued,prime_left.png,target_left.png,,d,d,250.0,2,112,True,0.205948465416,0,0.0,33.0,0.00195459640224
15,incomp,Cued,prime_left.png,target_right.png,,l,d,250.0,2,108,True,0.11855166933,0,0.0,32.0,0.00198904874776
16,comp,Cued,prime_right.png,target_right.png,,l,l,250.0,2,118,True,0.126419053831,0,0.0,69.0,0.00178922514374
17,comp,Free,prime_right.png,target_both.png,,dl,l,250.0,2,110,True,0.162933563628,0,0.0,29.0,0.00188148086897
18,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,2,105,False,0.425561496671,0,0.0,68.0,0.0018030060819
19,incomp,Free,prime_right.png,target_both.png,,dl,d,250.0,2,132,False,0.231536222431,0,0.0,66.0,0.00180453729729
20,comp,Cued,prime_right.png,target_right.png,,l,l,-250.0,2,118,True,0.275948741034,0,0.0,42.0,0.00197871304408
21,comp,Free,prime_right.png,target_both.png,,dl,l,-250.0,2,118,True,0.248389927053,0,0.0,43.0,0.00180874813952
22,incomp,Free,prime_left.png,target_both.png,,dl,l,250.0,2,132,False,0.226501586339,0,0.0,24.0,0.00188607451503
23,incomp,Cued,prime_right.png,target_left.png,,d,l,-250.0,2,132,True,0.0969469862612,0,0.0,59.0,0.00200129847065
24,incomp,Cued,prime_left.png,target_right.png,,l,l,250.0,2,142,False,0.191272914638,0,0.0,67.0,0.00179994365124
25,incomp,Free,prime_right.png,target_both.png,,dl,d,250.0,2,125,False,0.523679862681,0,0.0,63.0,0.0019591900483
26,comp,Free,prime_right.png,target_both.png,,dl,l,250.0,2,138,True,0.0275928835235,0,0.0,64.0,0.00180147486662
27,incomp,Cued,prime_left.png,target_right.png,,l,d,250.0,2,123,True,0.226065572767,0,0.0,25.0,0.00178463149769
28,comp,Cued,prime_left.png,target_left.png,,d,d,250.0,2,128,True,0.102295138697,0,0.0,46.0,0.00195268238303
