,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,4,128,True,0.831447762005,5,3.192,55.0,121.0,55.0,0.020653111786
2,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,4,127,True,0.323233142977,2,3.103,39.0,124.0,56.0,0.00332007040561
3,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,138,True,0.34068255717,5,1.041,43.0,125.0,42.0,0.00327681340605
4,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,4,115,True,0.271877131747,2,1.652,38.0,88.0,45.0,0.00334724958248
5,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,4,129,True,0.256664448948,5,1.662,51.0,102.0,39.0,0.00364009564009
6,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,122,True,0.319752677149,5,0.841,46.0,106.0,37.0,0.00353520698673
7,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,4,142,True,0.426925147016,5,7.305,38.0,113.0,41.0,0.00332772651154
8,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,147,True,0.442555853208,6,0.871,47.0,90.0,59.0,0.00337749120081
9,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,4,103,True,0.463579903334,6,0.981,40.0,120.0,68.0,0.0033074378307
10,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,4,140,True,0.464459589924,5,0.851,45.0,113.0,49.0,0.00340658440427
11,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,4,141,True,0.403673935629,5,0.841,43.0,83.0,54.0,0.00346668483689
12,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,149,True,0.322902016389,5,0.791,45.0,118.0,54.0,0.00333193737015
13,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,124,True,0.347618606481,5,2.503,51.0,109.0,53.0,0.00357769837547
14,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,149,True,0.416045437458,5,1.552,56.0,125.0,65.0,0.00343299797032
15,comp,Cued,prime_right.png,target_right.png,cross,l,d,-5.0,4,117,False,0.298335485975,4,3.653,38.0,86.0,38.0,0.00336715545791
16,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,4,113,True,0.265999539103,5,0.941,51.0,101.0,47.0,0.00353252734976
17,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,4,100,True,0.925089978386,5,1.642,49.0,85.0,51.0,0.00346362239452
18,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,4,129,True,0.769690165042,5,0.811,48.0,108.0,48.0,0.00347395813833
19,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,4,138,True,0.378637320302,2,1.912,56.0,78.0,67.0,0.00341998259
20,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,4,141,True,0.471122316248,5,1.041,51.0,119.0,54.0,0.00346591922653
21,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,4,118,True,0.454103175217,2,0.851,40.0,77.0,34.0,0.00347663777484
22,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,4,140,True,0.59748213639,2,4.523,52.0,97.0,27.0,0.00351568391625
23,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,4,117,True,0.284507027157,5,0.831,49.0,125.0,40.0,0.00362937709133
24,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,4,137,True,0.313751055586,5,0.851,55.0,81.0,39.0,0.0035750187385
25,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,118,True,0.289375927824,5,4.253,46.0,92.0,45.0,0.00353291015472
26,incomp,Cued,prime_left.png,target_right.png,red,l,l,-5.0,4,123,True,0.330546638319,2,4.754,38.0,112.0,38.0,0.00348544229701
27,comp,Free,prime_right.png,target_both.png,yellow,dl,l,5.0,4,131,True,0.355603925133,5,0.981,52.0,113.0,46.0,0.00356085494195
28,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,4,128,True,0.380594221018,2,0.841,55.0,101.0,63.0,0.00354592553504
29,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,4,111,True,0.397895872364,2,1.201,41.0,78.0,30.0,0.00371435986926
30,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,136,True,0.423134608892,5,0.781,47.0,117.0,23.0,0.00361942415338
31,comp,Cued,prime_left.png,target_left.png,green,d,d,-5.0,4,147,True,0.347865515903,4,1.041,51.0,117.0,46.0,0.00352142599604
32,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,4,110,True,0.416861578368,2,1.642,52.0,115.0,25.0,0.00352640246456
33,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,4,144,True,0.375565690539,2,1.101,54.0,91.0,29.0,0.0035976042509
34,incomp,Cued,prime_right.png,target_left.png,cross,d,l,5.0,4,141,False,0.372846624461,4,0.891,46.0,112.0,72.0,0.00360487755188
35,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,4,139,True,0.387608362611,2,3.043,40.0,80.0,62.0,0.00357616715428
36,incomp,Cued,prime_left.png,target_right.png,red,l,l,-5.0,4,128,True,0.444047262674,2,1.341,39.0,125.0,34.0,0.00355970652618
37,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,108,True,0.333792444495,5,0.821,57.0,98.0,71.0,0.0036626811534
38,incomp,Cued,prime_left.png,target_right.png,red,l,l,5.0,4,110,True,0.359997381612,5,1.191,38.0,104.0,63.0,0.00363779880854
39,comp,Free,prime_left.png,target_both.png,green,dl,d,5.0,4,111,True,0.315594263127,5,0.771,56.0,85.0,25.0,0.00373656257716
40,comp,Cued,prime_right.png,target_right.png,yellow,l,l,-5.0,4,110,True,0.364438688754,2,2.122,56.0,121.0,60.0,0.00370172729436
41,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,4,131,True,0.532965278794,3,0.671,41.0,85.0,39.0,0.00390576252175
42,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,4,147,True,0.766052366235,5,0.951,52.0,116.0,29.0,0.00361100243708
43,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,150,True,0.402788124155,5,1.622,47.0,124.0,40.0,0.00364162686128
44,incomp,Free,prime_left.png,target_both.png,red,dl,l,5.0,4,109,True,0.335738243858,5,0.791,52.0,115.0,40.0,0.00370938340029
45,incomp,Cued,prime_right.png,target_left.png,blue,d,d,-5.0,4,126,True,0.286833334992,2,1.301,50.0,89.0,36.0,0.00377484310729
46,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,4,115,True,0.499444549503,5,0.821,49.0,93.0,39.0,0.00387169284886
47,comp,Cued,prime_right.png,target_right.png,yellow,l,l,5.0,4,137,True,0.640702386485,5,0.821,41.0,112.0,24.0,0.00369943046235
48,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,113,True,0.785832681926,5,0.801,49.0,122.0,69.0,0.00371091462102
49,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,4,131,True,0.170868210087,2,2.022,40.0,99.0,23.0,0.00378824129257
50,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,132,True,0.211135882868,5,0.731,52.0,122.0,58.0,0.00382728743398
51,comp,Free,prime_left.png,target_both.png,green,dl,d,-5.0,4,125,True,0.302458299104,5,0.661,56.0,122.0,64.0,0.00371895353283
52,incomp,Cued,prime_left.png,target_right.png,red,l,l,-5.0,4,109,True,0.457636468177,2,1.081,53.0,111.0,45.0,0.00374498429346
53,incomp,Free,prime_right.png,target_both.png,blue,dl,d,-5.0,4,101,True,0.25308445374,5,0.881,45.0,86.0,60.0,0.00371742231164
54,incomp,Cued,prime_right.png,target_left.png,cross,d,l,-5.0,4,134,False,0.282089994465,4,0.711,55.0,116.0,69.0,0.00374689832006
55,comp,Cued,prime_left.png,target_left.png,green,d,d,5.0,4,133,True,0.431096959224,2,1.361,40.0,99.0,60.0,0.00415267194285
56,incomp,Free,prime_left.png,target_both.png,red,dl,l,-5.0,4,131,True,0.31805684965,5,0.931,58.0,91.0,58.0,0.00387743492911
57,incomp,Cued,prime_right.png,target_left.png,blue,d,d,5.0,4,148,True,0.417132221718,2,1.792,43.0,106.0,24.0,0.00404625206829
58,comp,Free,prime_right.png,target_both.png,yellow,dl,l,-5.0,4,134,True,0.315702979833,5,0.761,50.0,93.0,62.0,0.00388126298185
59,incomp,Cued,prime_left.png,target_right.png,cross,l,d,5.0,4,139,False,0.240276553864,4,1.051,48.0,107.0,57.0,0.00382728743398
