,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
1,comp,Cued,prime_left.png,target_left.png,red,d,d,-5.0,1,100,True,0.777131134551,1,2.691,53.0,118.0,52.0,0.00593998990928
2,incomp,Free,prime_right.png,target_both.png,green,dl,d,5.0,1,135,True,1.34274090129,1,1.562,56.0,113.0,32.0,0.00356774543752
3,comp,Free,prime_right.png,target_both.png,blue,dl,l,5.0,1,107,True,1.17896798752,1,1.792,42.0,87.0,42.0,0.00366957164852
4,comp,Free,prime_left.png,target_both.png,red,dl,d,-5.0,1,106,True,1.10562938169,4,1.702,56.0,121.0,45.0,0.00325422789319
5,comp,Free,prime_left.png,target_both.png,red,dl,d,-5.0,1,115,True,0.97561338808,5,2.342,47.0,97.0,46.0,0.00474219211162
6,incomp,Cued,prime_right.png,target_left.png,green,d,d,-5.0,1,104,True,0.837778978936,5,3.733,38.0,103.0,27.0,0.00473645003206
7,comp,Free,prime_right.png,target_both.png,blue,dl,l,5.0,1,124,True,1.26957417504,7,1.291,46.0,83.0,31.0,0.00507446711589
8,comp,Free,prime_left.png,target_both.png,red,dl,d,5.0,1,125,True,0.790437446934,5,1.672,51.0,76.0,61.0,0.00533056386456
9,incomp,Cued,prime_right.png,target_left.png,green,d,d,5.0,1,120,True,0.530558581844,5,1.371,45.0,85.0,72.0,0.00481033145581
10,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,144,True,0.683548252991,7,1.622,42.0,105.0,50.0,0.00524251864454
11,comp,Cued,prime_left.png,target_left.png,red,d,d,5.0,1,118,True,0.626179136039,5,2.752,54.0,125.0,60.0,0.00536578195255
12,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-5.0,1,101,True,0.903908212475,2,2.072,51.0,103.0,68.0,0.00375761686854
13,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,122,True,0.582007997568,7,1.442,38.0,83.0,73.0,0.00381542046955
14,comp,Cued,prime_left.png,target_left.png,red,d,d,5.0,1,112,True,0.486755319271,5,2.862,44.0,122.0,69.0,0.00387131004396
15,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,131,True,0.43859841197,7,1.592,52.0,93.0,73.0,0.00409410273119
16,incomp,Free,prime_right.png,target_both.png,green,dl,d,-5.0,1,133,True,1.06836251969,5,1.131,54.0,97.0,61.0,0.00389121591979
17,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,-5.0,1,110,True,0.739098279137,5,1.061,52.0,113.0,26.0,0.00380125667323
18,incomp,Cued,prime_right.png,target_left.png,green,d,d,5.0,1,144,True,0.519710645126,5,4.834,51.0,117.0,48.0,0.00377637432842
19,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,1,131,True,1.13055115542,5,3.393,46.0,118.0,40.0,0.00409410273113
20,incomp,Cued,prime_left.png,target_right.png,yellow,l,l,5.0,1,149,True,0.551765995711,5,4.563,53.0,105.0,56.0,0.00392528559189
21,comp,Cued,prime_right.png,target_right.png,blue,l,l,-5.0,1,132,True,0.476620931641,5,1.983,58.0,109.0,61.0,0.00381503766425
22,incomp,Free,prime_right.png,target_both.png,green,dl,d,5.0,1,133,True,0.496841090628,5,1.161,55.0,76.0,49.0,0.00384566208862
23,comp,Cued,prime_right.png,target_right.png,blue,l,l,-5.0,1,127,True,0.513872098623,5,2.302,48.0,110.0,38.0,0.00458141388373
24,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,112,True,0.368353638603,5,4.353,40.0,114.0,42.0,0.00430081759561
25,comp,Cued,prime_left.png,target_left.png,red,d,d,-5.0,1,134,True,0.333422654571,5,4.173,52.0,107.0,23.0,0.00433259043581
26,incomp,Cued,prime_right.png,target_left.png,green,d,d,-5.0,1,113,True,0.515041951633,5,3.403,48.0,82.0,69.0,0.00436474608142
27,incomp,Free,prime_left.png,target_both.png,yellow,dl,l,5.0,1,121,True,0.948609919098,5,3.423,54.0,90.0,31.0,0.00417449184511
28,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,104,True,0.59839359582,5,3.073,54.0,101.0,58.0,0.00387743492877
29,incomp,Free,prime_right.png,target_both.png,green,dl,d,-5.0,1,145,True,0.88592172244,5,1.552,46.0,82.0,26.0,0.00390078605244
30,comp,Cued,prime_left.png,target_left.png,red,d,d,-5.0,1,124,True,0.500894233191,5,6.575,52.0,85.0,41.0,0.00422081128693
31,comp,Free,prime_right.png,target_both.png,blue,dl,l,-5.0,1,117,True,0.761683409295,5,2.232,57.0,121.0,30.0,0.00353405857072
32,comp,Cued,prime_right.png,target_right.png,blue,l,l,5.0,1,110,True,0.488195432827,5,1.452,52.0,86.0,65.0,0.00351032464187
33,incomp,Cued,prime_right.png,target_left.png,green,d,d,-5.0,1,104,True,0.408849846151,5,2.802,47.0,103.0,41.0,0.00351300427894
