ExperimentName	Subject	Session	Age	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	Name	RandomSeed	Recznosc	ResearcherID	RuntimeVersion	SessionDate	SessionStartDateTimeUtc	SessionTime	Sex	StudioVersion	Block	BlockList	BlockList.Cycle	BlockList.Sample	BlockNumber	GoodBye.RESP	GoodBye2.RESP	GoodByeList	GoodByeList.Cycle	GoodByeList.Sample	InstrList	InstrList.Cycle	InstrList.Sample	Instructions3.RESP	Instructions4.RESP	Instructions5.RESP	kobieta_S1	kobieta_S2	kobieta_S3	kobieta_S4	kobieta_S5	mezczyzna_S1	mezczyzna_S2	mezczyzna_S3	mezczyzna_S4	mezczyzna_S5	NextBlock.RESP	NextBlock0.RESP	planowanie	PracticeMode	Procedure[Block]	proszenie	Running[Block]	TrainingList	TrainingList.Cycle	TrainingList.Sample	WordList	WordList1	wykonanie	zauwazenie	zrozumienie	Trial	ChoiceType	CorrectRespon	Effect	ErrorText	Fixation2.DurationError	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.OnsetToOnsetTime	GoalRespInd1	GoalRespInd2	GoalRespInd3	GoalRespInd4	GoalRespInd5	GoalRespInd6	GoalRespName1	GoalRespName2	GoalRespName3	GoalRespName4	GoalRespName5	GoalRespName6	kol1	kol2	kol3	kol4	kol5	kol6	NeutralPrimeList1	Ocena	Ocena.Cycle	Ocena.Sample	OverallRT	Posit	Prime	Prime.ActionDelay	Prime.ActionTime	Prime.CustomOffsetTime	Prime.CustomOnsetTime	Prime.Duration	Prime.DurationError	Prime.FinishTime	Prime.OffsetDelay	Prime.OffsetTime	Prime.OnsetDelay	Prime.OnsetTime	Prime.OnsetToOnsetTime	Prime.PendingInputMasks	Prime.PreRelease	Prime.StartTime	Prime.TargetOffsetTime	Prime.TargetOnsetTime	Prime.TimingMode	PrimeChoice	Procedure[Trial]	Resp	RespWin.ACC	RespWin.CRESP	RespWin.DurationError	RespWin.OnsetDelay	RespWin.OnsetTime	RespWin.OnsetToOnsetTime	RespWin.RESP	RespWin.RT	RespWin.RTTime	Running[Trial]	Target	TargetSlide.ACC	TargetSlide.CRESP	TargetSlide.DurationError	TargetSlide.OnsetDelay	TargetSlide.OnsetTime	TargetSlide.OnsetToOnsetTime	TargetSlide.RESP	TargetSlide.RT	TargetSlide.RTTime	TargetTraining	TBox1	TBox2	TBox3	TBox4	TBox5	TBox6	TrainingList1	TrainingList1.Cycle	TrainingList1.Sample	TrCorrectResp	TrialList1	TrialList1.Cycle	TrialList1.Sample	TrialList2	TrialList2.Cycle	TrialList2.Sample	TrialType	TrPosit	TrWaitTime	WaitTime
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									1	Free	dl	color_purple.png		-1	8	273529	310																			1					25	prime_left.png	0	272648	0	0	13	0	272648	0	272648	1	272648	20	0	-1	271149	272648	272647	0	prime_left.png	TrialProc1	left	0		0	20	272968	-272968		0	0	TrialList2	target_both.png	0	dl	-1	3	272698	270	l	822	273520															8	1	1	neut			300
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									2	Free	dl	color_blue.png		-1	6	276390	160																								75	prime_left.png	0	275650	0	0	13	0	275650	0	275650	1	275650	20	0	-1	274151	275650	275649	0		TrialProc1	right	0		0	10	275960	-275960		0	0	TrialList2	target_both.png	0	dl	-1	3	275700	260	l	684	276384															12	1	2	incomp			150
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									3	Free	dl	color_blue.png		-1	13	279102	460																								25	prime_left.png	1	278362	0	0	13	1	278362	1	278362	0	278361	20	0	-1	276862	278361	278361	0		TrialProc1	right	0		0	11	278672	-278672		0	0	TrialList2	target_both.png	0	dl	-1	3	278411	261	l	677	279088															12	1	3	incomp			450
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									4	Free	dl	color_orange.png		-1	6	281863	461																								25	prime_right.png	0	281373	0	0	13	0	281373	0	281373	1	281373	20	0	-1	279874	281373	281372	0		TrialProc1	right	0		1	10	281683	-281683		0	0	TrialList2	target_both.png	0	dl	-1	3	281423	260	l	433	281856															10	1	4	comp			450
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									5	Free	dl	color_purple.png		-1	12	285085	311																			2					75	prime_right.png	0	284135	0	0	13	0	284135	0	284135	1	284135	20	0	-1	282636	284135	284134	0	prime_right.png	TrialProc1	left	0		0	10	284445	-284445		0	0	TrialList2	target_both.png	0	dl	-1	3	284185	260	l	887	285072															8	1	5	neut			300
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									6	Free	dl	color_orange.png		-1	6	287727	460																								25	prime_right.png	0	287207	0	0	13	0	287207	0	287207	1	287207	20	0	-1	285708	287207	287206	0		TrialProc1	right	0		0	10	287517	-287517		0	0	TrialList2	target_both.png	0	dl	-1	3	287257	260	l	463	287720															10	1	6	comp			450
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									7	Free	dl	color_purple.png		-1	14	290479	460																			1					25	prime_left.png	0	289998	0	0	13	0	289998	0	289998	1	289998	20	0	-1	288499	289998	289997	0	prime_left.png	TrialProc1	left	0		1	10	290308	-290308		0	0	TrialList2	target_both.png	0	dl	-1	3	290048	260	l	416	290464															8	1	7	neut			450
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									8	Free	dl	color_orange.png		-1	11	293260	160																								75	prime_right.png	0	292750	0	0	13	0	292750	0	292750	1	292750	20	0	-1	291251	292750	292749	0		TrialProc1	right	0		0	10	293060	-293060		0	0	TrialList2	target_both.png	0	dl	-1	3	292800	260	l	448	293248															10	1	8	comp			150
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									9	Free	dl	color_purple.png		-1	7	295672	310																			2					25	prime_right.png	0	295231	0	0	13	1	295232	1	295232	1	295231	20	0	-1	293732	295231	295230	0	prime_right.png	TrialProc1	left	0		0	11	295542	-295542		0	0	TrialList2	target_both.png	0	dl	-1	3	295281	261	l	383	295664															8	1	9	neut			300
1 ver1_main_procedure	33	1	31	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2612314</Frequency><Timestamp dt:dt="r8">972023828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-15T13:23:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	1 ver1_main_procedure-33-1	99.935	1.0.0.880	1	MD	972547283	prawa	1	2.0.10.182	08-15-2015	2015-08-15 13:23:14	15:23:14	kobieta	2.0.10.92	3	5	1	1																							d	{SPACE}		no	BlockProc2		BlockList									10	Free	dl	color_orange.png		-1	6	298503	461																								25	prime_right.png	0	297793	0	0	13	0	297793	0	297793	1	297793	20	0	-1	296294	297793	297792	0		TrialProc1	left	0		0	10	298103	-298103		0	0	TrialList2	target_both.png	0	dl	-1	3	297843	260	l	653	298496															9	1	10	incomp			450
